customer_id,name,age,city,preferred_language,relationship_tenure_months,avg_monthly_balance,risk_profile,lifecycle_stage,primary_channel,credit_card_holder,loan_holder,recent_issues
C00079,Customer00079,24,Hyderabad,en,39,6269.5,low,active,email,False,none,none
C00080,Customer00080,41,Chennai,mr,58,65432.45,low,active,email,False,none,none
C00081,Customer00081,43,Bengaluru,en,38,281163.89,low,dormant,sms,True,none,none
C00082,Customer00082,51,Pune,en,38,109292.16,high,dormant,email,False,none,none
C00083,Customer00083,34,Hyderabad,en,11,95538.15,high,active,app,True,auto,none
C00084,Customer00084,39,Hyderabad,en,1,1355.74,low,active,sms,True,home,none
C00085,Customer00085,61,Hyderabad,en,8,62035.91,low,active,sms,True,none,none
C00086,Customer00086,33,Mumbai,en,1,54811.92,medium,active,app,True,none,none
C00087,Customer00087,33,Kolkata,en,3,115337.04,low,active,app,True,SME,none
C00088,Customer00088,53,Mumbai,hi,5,57713.06,low,active,email,False,none,none
C00089,Customer00089,30,Ahmedabad,en,1,62987.52,low,active,email,False,none,none
C00090,Customer00090,61,Delhi,te,24,160604.83,medium,active,app,False,none,none
C00091,Customer00091,18,Delhi,te,38,61187.26,low,active,email,False,none,none
C00092,Customer00092,33,Hyderabad,en,1,50147.94,low,active,email,False,none,none
C00093,Customer00093,43,Chennai,hi,12,101945.31,medium,onboarding,email,False,auto,none
C00094,Customer00094,34,Hyderabad,mr,6,30929.19,medium,active,sms,False,none,none
C00095,Customer00095,55,Delhi,en,25,74298.9,low,active,email,True,none,none
C00096,Customer00096,41,Visakhapatnam,en,22,149081.06,low,active,email,False,none,none
C00097,Customer00097,22,Hyderabad,en,10,20945.96,low,active,app,False,none,txn_decline
C00098,Customer00098,35,Visakhapatnam,bn,2,162320.34,low,active,app,False,none,none
C00099,Customer00099,18,Hyderabad,en,4,11463.26,low,dormant,email,False,none,txn_decline
C00100,Customer00100,18,Ahmedabad,te,22,28011.57,medium,active,sms,False,none,none
C00101,Customer00101,33,Hyderabad,en,11,57844.43,low,dormant,email,False,none,none
C00102,Customer00102,38,Kolkata,mr,46,190879.82,low,active,email,False,none,none
C00103,Customer00103,28,Hyderabad,en,1,77726.21,medium,active,app,False,auto,none
C00104,Customer00104,35,Delhi,te,21,53653.8,low,active,app,False,none,none
C00105,Customer00105,39,Pune,en,11,89727.84,high,dormant,app,True,none,none
C00106,Customer00106,31,Chennai,en,18,176679.06,medium,active,app,False,none,none
C00107,Customer00107,36,Hyderabad,en,77,85299.03,low,active,app,False,home,none
C00108,Customer00108,33,Pune,ta,9,62455.9,low,active,app,False,none,none
C00109,Customer00109,32,Delhi,en,3,100976.13,medium,active,app,False,auto,none
C00110,Customer00110,47,Bengaluru,hi,50,137153.01,medium,active,app,False,none,none
C00111,Customer00111,46,Delhi,mr,7,87777.73,medium,active,sms,False,home,none
C00112,Customer00112,43,Delhi,ta,39,7392.32,low,dormant,email,False,none,none
C00113,Customer00113,37,Ahmedabad,hi,11,57039.64,low,active,app,False,none,none
C00114,Customer00114,31,Ahmedabad,en,64,119716.24,low,active,email,True,auto,app_crash
C00115,Customer00115,35,Visakhapatnam,en,33,115926.61,low,winback,app,False,SME,none
C00116,Customer00116,33,Kolkata,te,55,65697.38,low,active,email,True,none,none
C00117,Customer00117,51,Delhi,en,9,51260.23,medium,active,sms,False,personal,txn_decline
C00118,Customer00118,35,Ahmedabad,hi,1,101238.48,medium,dormant,app,True,auto,none
C00119,Customer00119,41,Mumbai,hi,72,42191.42,medium,active,app,False,none,app_crash
C00120,Customer00120,57,Visakhapatnam,en,14,113913.62,medium,onboarding,email,True,home,none
C00121,Customer00121,27,Chennai,en,26,22851.32,low,active,app,False,home,none
C00122,Customer00122,45,Delhi,ta,37,90023.37,high,winback,email,False,auto,none
C00123,Customer00123,37,Hyderabad,en,1,3835.26,high,dormant,app,False,SME,none
C00124,Customer00124,18,Bengaluru,en,52,156225.89,low,active,sms,False,personal,none
C00125,Customer00125,29,Chennai,te,3,30716.85,high,active,email,True,home,none
C00126,Customer00126,44,Ahmedabad,en,2,131472.85,low,dormant,app,False,none,none
C00127,Customer00127,40,Hyderabad,en,1,19583.41,low,active,app,True,none,none
C00128,Customer00128,43,Pune,en,2,102352.5,medium,active,email,True,none,none
C00129,Customer00129,23,Delhi,en,40,34447.83,low,active,app,False,none,none
C00130,Customer00130,31,Pune,ta,2,131606.68,medium,active,email,False,home,none
C00131,Customer00131,41,Hyderabad,hi,13,138521.37,medium,active,sms,False,none,none
C00132,Customer00132,34,Ahmedabad,en,15,49726.23,medium,active,app,False,none,none
C00133,Customer00133,41,Ahmedabad,en,32,366.14,medium,active,sms,False,none,none
C00134,Customer00134,42,Hyderabad,en,11,55332.38,low,dormant,app,True,none,none
C00135,Customer00135,44,Chennai,en,6,25926.77,medium,active,app,False,none,none
C00136,Customer00136,38,Ahmedabad,en,118,109010.26,medium,dormant,app,False,SME,none
C00137,Customer00137,38,Kolkata,te,83,3619.41,low,active,app,False,home,none
C00138,Customer00138,60,Hyderabad,en,28,74373.6,low,active,app,False,SME,none
C00139,Customer00139,59,Kolkata,en,21,3959.15,low,dormant,sms,False,home,none
C00140,Customer00140,36,Mumbai,en,23,108578.55,medium,active,app,False,personal,none
C00141,Customer00141,29,Bengaluru,hi,14,14036.44,low,active,app,True,auto,none
C00142,Customer00142,48,Hyderabad,hi,1,58607.88,low,active,sms,False,none,none
C00143,Customer00143,41,Chennai,en,8,162570.25,medium,dormant,app,False,SME,none
C00144,Customer00144,43,Bengaluru,en,4,108231.43,low,active,email,False,none,none
C00145,Customer00145,24,Hyderabad,te,64,159887.53,low,dormant,app,False,auto,none
C00146,Customer00146,37,Visakhapatnam,en,39,33066.73,medium,active,app,True,none,none
C00147,Customer00147,20,Bengaluru,en,84,131232.34,low,active,app,True,personal,txn_decline
C00148,Customer00148,40,Hyderabad,hi,15,66723.38,low,active,email,False,personal,none
C00149,Customer00149,22,Ahmedabad,en,1,14037.5,medium,active,app,True,none,none
C00150,Customer00150,40,Chennai,en,196,68140.9,low,active,app,True,none,none
C00151,Customer00151,38,Visakhapatnam,en,35,52818.84,low,active,email,False,none,none
C00152,Customer00152,34,Mumbai,te,3,45947.41,medium,active,sms,False,none,none
C00153,Customer00153,39,Pune,hi,6,80866.33,low,dormant,app,True,auto,none
C00154,Customer00154,48,Hyderabad,en,10,142482.26,low,active,email,False,none,none
C00155,Customer00155,41,Chennai,en,17,5090.81,low,dormant,app,False,home,none
C00156,Customer00156,39,Hyderabad,en,45,143075.77,low,active,email,False,none,none
C00157,Customer00157,58,Hyderabad,en,50,155320.45,medium,active,sms,False,none,txn_decline
C00158,Customer00158,27,Visakhapatnam,te,1,33854.33,low,active,sms,False,personal,none
C00159,Customer00159,44,Hyderabad,mr,29,132117.89,medium,active,app,False,none,none
C00160,Customer00160,33,Visakhapatnam,hi,1,29461.48,medium,dormant,app,True,none,none
C00161,Customer00161,48,Delhi,te,11,55524.37,low,active,sms,False,none,none
C00162,Customer00162,46,Delhi,en,10,41775.33,medium,dormant,app,False,none,none
C00163,Customer00163,53,Hyderabad,en,12,54445.69,medium,active,email,False,none,none
C00164,Customer00164,47,Hyderabad,te,71,69842.03,medium,winback,sms,False,none,none
C00165,Customer00165,20,Kolkata,en,14,46667.14,medium,active,app,False,personal,none
C00166,Customer00166,37,Hyderabad,te,9,74187.16,medium,active,sms,False,none,none
C00167,Customer00167,24,Visakhapatnam,mr,1,90180.35,medium,active,sms,False,home,none
C00168,Customer00168,26,Visakhapatnam,hi,10,79260.4,low,active,app,False,none,none
C00169,Customer00169,37,Hyderabad,hi,26,107308.54,medium,active,app,False,none,none
C00170,Customer00170,33,Bengaluru,en,1,21459.72,low,winback,email,False,none,duplicate_debit
C00171,Customer00171,32,Hyderabad,en,4,2427.63,medium,active,app,False,home,none
C00172,Customer00172,23,Bengaluru,bn,10,38508.03,medium,active,sms,True,none,none
C00173,Customer00173,57,Hyderabad,hi,1,52115.81,low,active,app,False,none,none
C00174,Customer00174,43,Kolkata,en,2,122278.1,low,winback,app,False,none,none
C00175,Customer00175,36,Ahmedabad,mr,39,36741.82,low,active,email,False,SME,none
C00176,Customer00176,30,Ahmedabad,en,5,84770.26,low,active,app,False,none,none
C00177,Customer00177,35,Hyderabad,en,23,88115.27,medium,active,app,True,none,app_crash
C00178,Customer00178,31,Mumbai,te,33,81527.8,medium,winback,email,False,none,none
C00179,Customer00179,43,Hyderabad,en,17,68675.01,low,winback,app,False,personal,none
C00180,Customer00180,28,Delhi,ta,14,54768.95,low,dormant,app,False,none,app_crash
C00181,Customer00181,21,Hyderabad,en,7,62207.82,medium,active,app,False,none,none
C00182,Customer00182,36,Delhi,en,9,47132.55,low,active,app,True,auto,none
C00183,Customer00183,31,Pune,en,3,14892.88,low,active,sms,False,none,none
C00184,Customer00184,40,Chennai,en,27,104633.85,medium,active,email,False,none,none
C00185,Customer00185,37,Pune,en,2,138796.65,low,active,app,False,none,none
C00186,Customer00186,61,Hyderabad,en,32,110871.96,medium,active,app,False,none,none
C00187,Customer00187,27,Pune,en,8,38579.68,medium,dormant,app,False,none,none
C00188,Customer00188,51,Hyderabad,en,20,28578.96,medium,active,email,True,none,none
C00189,Customer00189,24,Delhi,en,2,83778.15,high,active,email,False,none,none
C00190,Customer00190,33,Hyderabad,bn,4,12440.42,low,active,email,False,personal,none
C00191,Customer00191,32,Chennai,en,4,1839.45,low,active,email,False,none,none
C00192,Customer00192,18,Chennai,en,96,91078.53,medium,dormant,app,False,none,none
C00193,Customer00193,35,Delhi,en,83,4453.82,medium,active,email,False,personal,app_crash
C00194,Customer00194,40,Ahmedabad,mr,7,66414.64,low,winback,app,True,none,none
C00195,Customer00195,43,Visakhapatnam,en,63,8653.31,low,dormant,app,False,none,none
C00196,Customer00196,58,Visakhapatnam,en,7,147176.73,low,active,app,False,home,none
C00197,Customer00197,31,Hyderabad,en,9,84235.92,low,active,app,True,none,none
C00198,Customer00198,40,Kolkata,en,6,114457.29,high,active,app,False,none,none
C00199,Customer00199,40,Kolkata,en,8,4259.0,low,active,sms,False,SME,none
C00200,Customer00200,26,Bengaluru,hi,15,66064.56,medium,active,email,False,none,none
C00201,Customer00201,31,Visakhapatnam,en,9,52843.92,low,active,app,False,none,none
C00202,Customer00202,31,Bengaluru,en,27,95615.07,low,dormant,app,False,none,none
C00203,Customer00203,43,Kolkata,en,15,136494.12,medium,dormant,sms,False,none,none
C00204,Customer00204,20,Visakhapatnam,en,63,11957.74,low,dormant,app,False,personal,none
C00205,Customer00205,41,Pune,ta,66,13760.89,low,active,sms,True,none,none
C00206,Customer00206,42,Bengaluru,ta,44,144808.05,low,active,sms,True,SME,none
C00207,Customer00207,41,Visakhapatnam,en,5,25287.38,low,active,sms,False,none,none
C00208,Customer00208,34,Ahmedabad,en,40,30856.58,high,onboarding,app,True,home,none
C00209,Customer00209,40,Delhi,hi,10,174524.05,medium,active,app,False,none,none
C00210,Customer00210,35,Delhi,en,40,106857.02,medium,active,email,True,none,none
C00211,Customer00211,18,Kolkata,en,14,10485.18,low,active,app,False,SME,none
C00212,Customer00212,48,Chennai,en,16,612.7,low,active,email,False,none,none
C00213,Customer00213,41,Hyderabad,en,11,36853.97,high,dormant,email,False,home,none
C00214,Customer00214,46,Ahmedabad,hi,23,55737.23,low,active,app,False,home,none
C00215,Customer00215,23,Hyderabad,ta,3,118625.24,low,winback,email,False,none,none
C00216,Customer00216,43,Visakhapatnam,hi,18,124839.62,low,onboarding,sms,True,none,none
C00217,Customer00217,39,Chennai,en,3,64893.24,low,active,sms,False,none,none
C00218,Customer00218,27,Pune,en,32,979.91,high,active,sms,False,none,none
C00219,Customer00219,38,Bengaluru,en,34,21340.55,low,active,app,False,none,none
C00220,Customer00220,34,Bengaluru,te,41,99748.32,low,active,app,True,home,none
C00221,Customer00221,35,Chennai,mr,38,8725.82,medium,active,email,False,none,none
C00222,Customer00222,33,Delhi,en,30,16841.25,low,active,sms,False,none,none
C00223,Customer00223,46,Visakhapatnam,en,28,131338.27,low,winback,app,False,none,none
C00224,Customer00224,21,Ahmedabad,en,10,66857.86,low,active,app,False,auto,none
C00225,Customer00225,20,Ahmedabad,ta,14,139762.66,low,onboarding,email,True,none,none
C00226,Customer00226,39,Ahmedabad,ta,22,208614.3,medium,active,sms,True,none,none
C00227,Customer00227,39,Visakhapatnam,en,28,93546.0,low,winback,email,False,none,none
C00228,Customer00228,40,Visakhapatnam,hi,3,76527.0,medium,active,sms,True,none,none
C00229,Customer00229,56,Delhi,te,13,130725.2,medium,active,email,False,none,app_crash
C00230,Customer00230,39,Delhi,en,62,56005.73,low,active,app,False,none,none
C00231,Customer00231,28,Hyderabad,en,100,42452.78,low,active,email,False,none,none
C00232,Customer00232,63,Mumbai,te,12,81437.16,low,active,email,True,personal,none
C00233,Customer00233,36,Hyderabad,hi,38,24387.14,low,active,sms,False,personal,none
C00234,Customer00234,46,Hyderabad,en,60,89244.24,low,dormant,email,False,home,none
C00235,Customer00235,25,Mumbai,te,32,27704.73,low,active,sms,False,none,none
C00236,Customer00236,22,Hyderabad,ta,14,34355.89,low,dormant,sms,False,SME,none
C00237,Customer00237,35,Kolkata,en,16,33636.59,medium,dormant,email,True,none,none
C00238,Customer00238,46,Bengaluru,en,10,40567.17,high,active,email,False,auto,none
C00239,Customer00239,56,Mumbai,te,1,117593.9,low,active,app,False,none,none
C00240,Customer00240,27,Delhi,en,77,81000.16,medium,active,app,False,auto,none
C00241,Customer00241,35,Hyderabad,en,2,16391.55,low,winback,email,False,none,none
C00242,Customer00242,38,Kolkata,te,21,59495.36,high,active,app,True,none,none
C00243,Customer00243,38,Hyderabad,hi,5,48552.49,low,active,app,False,home,none
C00244,Customer00244,36,Hyderabad,hi,5,59302.2,high,active,email,False,none,none
C00245,Customer00245,37,Ahmedabad,en,19,17394.51,medium,dormant,app,False,auto,none
C00246,Customer00246,51,Visakhapatnam,te,13,109561.08,medium,active,email,False,none,none
C00247,Customer00247,50,Hyderabad,te,4,74403.41,high,active,app,True,auto,none
C00248,Customer00248,40,Visakhapatnam,en,70,34710.72,low,active,app,False,none,none
C00249,Customer00249,23,Kolkata,en,24,3331.0,low,active,email,True,none,none
C00250,Customer00250,34,Mumbai,en,4,45824.61,low,active,sms,False,home,none
C00251,Customer00251,47,Kolkata,en,1,126293.31,low,dormant,app,False,none,none
C00252,Customer00252,30,Chennai,en,26,6301.09,high,active,sms,False,home,none
C00253,Customer00253,32,Bengaluru,en,25,79362.47,high,active,sms,False,auto,none
C00254,Customer00254,34,Delhi,en,6,36247.04,medium,active,email,True,none,none
C00255,Customer00255,45,Mumbai,ta,42,76655.8,medium,active,app,False,personal,none
C00256,Customer00256,54,Hyderabad,en,5,10425.36,low,active,email,False,home,none
C00257,Customer00257,43,Hyderabad,en,1,31427.21,low,active,app,True,none,none
C00258,Customer00258,21,Ahmedabad,en,53,155881.22,low,active,email,False,none,none
C00259,Customer00259,32,Mumbai,en,7,112940.55,low,active,app,False,none,none
C00260,Customer00260,51,Pune,en,7,55186.42,high,winback,app,False,none,none
C00261,Customer00261,25,Hyderabad,en,19,155287.65,low,active,email,True,auto,none
C00262,Customer00262,20,Kolkata,ta,71,17304.67,low,winback,app,True,none,none
C00263,Customer00263,32,Visakhapatnam,en,48,73948.17,low,active,app,False,none,none
C00264,Customer00264,47,Ahmedabad,hi,38,48142.5,medium,active,app,False,none,none
C00265,Customer00265,34,Bengaluru,en,7,46583.26,high,active,sms,False,personal,none
C00266,Customer00266,59,Mumbai,hi,7,90335.44,medium,active,email,False,none,none
C00267,Customer00267,39,Visakhapatnam,en,99,38961.0,low,active,email,True,SME,none
C00268,Customer00268,25,Bengaluru,ta,7,56049.05,low,active,app,True,none,none
C00269,Customer00269,39,Ahmedabad,en,7,8702.37,low,active,email,False,auto,none
C00270,Customer00270,58,Visakhapatnam,ta,42,93055.49,low,dormant,email,False,personal,none
C00271,Customer00271,40,Bengaluru,en,22,108961.46,medium,active,app,False,none,none
C00272,Customer00272,27,Hyderabad,te,58,80617.78,low,dormant,sms,True,none,none
C00273,Customer00273,19,Hyderabad,hi,17,26774.62,low,active,email,False,none,none
C00274,Customer00274,34,Kolkata,hi,22,61913.5,low,active,email,True,personal,none
C00275,Customer00275,31,Delhi,en,8,34399.67,medium,active,app,False,none,none
C00276,Customer00276,51,Hyderabad,en,8,3026.67,medium,active,email,False,none,txn_decline
C00277,Customer00277,28,Kolkata,en,26,207942.92,high,active,app,False,none,none
C00278,Customer00278,38,Hyderabad,en,5,60742.21,low,active,sms,True,none,none
C00279,Customer00279,32,Chennai,hi,16,57320.59,low,winback,app,False,home,none
C00280,Customer00280,21,Ahmedabad,en,35,109227.33,low,active,app,False,none,none
C00281,Customer00281,37,Bengaluru,en,27,156248.04,low,active,app,False,home,none
C00282,Customer00282,22,Ahmedabad,en,41,25977.12,medium,active,app,False,personal,none
C00283,Customer00283,44,Hyderabad,en,7,108353.27,high,active,email,False,none,none
C00284,Customer00284,20,Ahmedabad,en,2,118648.11,medium,onboarding,email,False,none,none
C00285,Customer00285,37,Chennai,en,4,87240.33,medium,active,sms,False,personal,none
C00286,Customer00286,48,Hyderabad,en,31,57176.34,low,dormant,sms,False,none,none
C00287,Customer00287,43,Delhi,en,28,114846.84,medium,active,sms,False,none,none
C00288,Customer00288,33,Hyderabad,en,16,87976.5,low,active,app,False,none,none
C00289,Customer00289,42,Chennai,te,4,62461.26,medium,active,app,True,none,none
C00290,Customer00290,46,Hyderabad,en,1,58030.86,low,active,sms,False,none,none
C00291,Customer00291,27,Hyderabad,en,61,113189.17,high,active,email,False,none,none
C00292,Customer00292,49,Hyderabad,ta,44,45175.05,low,active,app,False,none,none
C00293,Customer00293,47,Visakhapatnam,mr,1,19037.32,low,active,app,True,none,txn_decline
C00294,Customer00294,23,Bengaluru,en,3,80062.0,medium,active,app,True,none,none
C00295,Customer00295,40,Chennai,en,9,21275.08,high,active,app,True,personal,none
C00296,Customer00296,35,Kolkata,ta,9,58099.08,low,dormant,app,True,auto,none
C00297,Customer00297,52,Visakhapatnam,en,9,61793.29,medium,active,app,False,personal,none
C00298,Customer00298,46,Ahmedabad,en,22,66981.93,low,active,app,False,none,none
C00299,Customer00299,38,Bengaluru,hi,67,113928.82,medium,active,app,True,none,none
C00300,Customer00300,50,Hyderabad,hi,12,8994.09,low,winback,app,False,personal,txn_decline
C00301,Customer00301,60,Chennai,en,49,28229.69,low,active,app,False,none,none
C00302,Customer00302,21,Bengaluru,en,32,55515.94,medium,active,app,False,none,none
C00303,Customer00303,33,Chennai,ta,10,33092.92,low,dormant,app,False,none,none
C00304,Customer00304,27,Pune,en,6,13054.72,low,active,app,False,none,none
C00305,Customer00305,37,Hyderabad,en,11,64052.88,low,active,app,False,personal,none
C00306,Customer00306,27,Pune,en,71,90957.39,low,winback,email,False,none,none
C00307,Customer00307,47,Chennai,en,69,37160.67,medium,dormant,email,False,none,none
C00308,Customer00308,61,Delhi,te,4,10166.19,medium,active,sms,False,none,none
C00309,Customer00309,39,Kolkata,en,22,79547.08,medium,active,app,False,none,none
C00310,Customer00310,22,Hyderabad,en,4,54437.78,medium,active,app,False,none,none
C00311,Customer00311,31,Hyderabad,hi,36,16671.37,low,active,sms,False,none,none
C00312,Customer00312,33,Ahmedabad,en,83,39913.11,low,active,app,False,none,duplicate_debit
C00313,Customer00313,52,Pune,en,28,15755.22,low,active,app,False,auto,txn_decline
C00314,Customer00314,41,Kolkata,en,6,27406.84,medium,winback,app,False,none,none
C00315,Customer00315,40,Kolkata,en,21,40944.65,low,onboarding,app,False,none,none
C00316,Customer00316,29,Hyderabad,te,50,59881.87,low,dormant,email,False,none,none
C00317,Customer00317,31,Pune,te,52,26737.91,low,dormant,sms,False,none,txn_decline
C00318,Customer00318,43,Hyderabad,hi,19,115016.58,medium,active,app,True,none,none
C00319,Customer00319,36,Hyderabad,en,11,2102.17,high,dormant,email,False,none,none
C00320,Customer00320,46,Ahmedabad,hi,16,7041.03,low,active,email,True,none,none
C00321,Customer00321,32,Delhi,en,45,63427.28,low,winback,email,False,SME,none
C00322,Customer00322,18,Visakhapatnam,te,21,2213.39,low,dormant,email,True,none,none
C00323,Customer00323,33,Hyderabad,en,27,112649.65,medium,dormant,app,False,none,none
C00324,Customer00324,21,Delhi,hi,50,77752.91,low,active,app,False,none,none
C00325,Customer00325,43,Bengaluru,en,45,116522.21,low,active,app,False,none,txn_decline
C00326,Customer00326,42,Visakhapatnam,hi,43,92900.42,low,active,app,True,none,none
C00327,Customer00327,48,Delhi,en,23,120157.74,low,active,sms,False,personal,none
C00328,Customer00328,31,Hyderabad,en,51,78833.73,medium,dormant,sms,False,none,none
C00329,Customer00329,36,Chennai,en,9,58802.82,medium,active,app,True,home,none
C00330,Customer00330,31,Visakhapatnam,en,40,79697.33,low,active,app,True,none,none
C00331,Customer00331,38,Mumbai,en,1,126707.11,low,active,email,True,none,none
C00332,Customer00332,46,Kolkata,en,95,39363.58,medium,dormant,app,False,none,none
C00333,Customer00333,24,Chennai,en,24,94775.21,medium,active,email,False,none,none
C00334,Customer00334,52,Hyderabad,hi,2,62817.83,medium,active,app,False,none,none
